Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Symbols,AAPL,GOOGL,MSFT,AMZN,AAPL,GOOGL,MSFT,AMZN,AAPL,GOOGL,MSFT,AMZN,AAPL,GOOGL,MSFT,AMZN,AAPL,GOOGL,MSFT,AMZN,AAPL,GOOGL,MSFT,AMZN
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,73.56153869628906,68.43399810791016,156.1519317626953,94.90049743652344,75.0875015258789,68.43399810791016,160.6199951171875,94.90049743652344,75.1500015258789,68.43399810791016,160.72999572753906,94.90049743652344,73.79750061035156,67.32450103759766,158.3300018310547,93.2074966430664,74.05999755859375,67.42050170898438,158.77999877929688,93.75,135480400.0,27278000.0,22622100.0,80580000.0
2020-01-03,72.84637451171875,68.07599639892578,154.20758056640625,93.74849700927734,74.35749816894531,68.07599639892578,158.6199951171875,93.74849700927734,75.1449966430664,68.6875,159.9499969482422,94.30999755859375,74.125,67.36599731445312,158.05999755859375,93.2249984741211,74.2874984741211,67.4000015258789,158.32000732421875,93.2249984741211,146322800.0,23408000.0,21116200.0,75288000.0
2020-01-06,73.42681884765625,69.8905029296875,154.60618591308594,95.14399719238281,74.94999694824219,69.8905029296875,159.02999877929688,95.14399719238281,74.98999786376953,69.91600036621094,159.10000610351562,95.18450164794922,73.1875,67.55000305175781,156.50999450683594,93.0,73.44750213623047,67.58149719238281,157.0800018310547,93.0,118387200.0,46768000.0,20813700.0,81236000.0
2020-01-07,73.08148193359375,69.75550079345703,153.196533203125,95.34300231933594,74.59750366210938,69.75550079345703,157.5800018310547,95.34300231933594,75.2249984741211,70.17500305175781,159.6699981689453,95.69450378417969,74.37000274658203,69.5780029296875,157.32000732421875,94.60199737548828,74.95999908447266,70.02300262451172,159.32000732421875,95.2249984741211,108872000.0,34330000.0,21634100.0,80898000.0
2020-01-08,74.25711059570312,70.25199890136719,155.63668823242188,94.59850311279297,75.79750061035156,70.25199890136719,160.08999633789062,94.59850311279297,76.11000061035156,70.59249877929688,160.8000030517578,95.55000305175781,74.29000091552734,69.63150024414062,157.9499969482422,94.3219985961914,74.29000091552734,69.74099731445312,158.92999267578125,94.9020004272461,132079200.0,35314000.0,27746500.0,70160000.0
2020-01-09,75.83438110351562,70.989501953125,157.58103942871094,95.05249786376953,77.40750122070312,70.989501953125,162.08999633789062,95.05249786376953,77.60749816894531,71.43399810791016,162.22000122070312,95.89099884033203,76.55000305175781,70.510498046875,161.02999877929688,94.79000091552734,76.80999755859375,71.09649658203125,161.83999633789062,95.49449920654297,170108400.0,33200000.0,21385000.0,63346000.0
2020-01-10,76.00580596923828,71.447998046875,156.85191345214844,94.15799713134766,77.5824966430664,71.447998046875,161.33999633789062,94.15799713134766,78.1675033569336,71.74700164794922,163.22000122070312,95.34700012207031,77.0625,70.9800033569336,161.17999267578125,94.0,77.6500015258789,71.47350311279297,162.82000732421875,95.26850128173828,140644800.0,26258000.0,20725900.0,57074000.0
2020-01-13,77.629638671875,72.00150299072266,158.73793029785156,94.56500244140625,79.23999786376953,72.00150299072266,163.27999877929688,94.56500244140625,79.26750183105469,72.0739974975586,163.30999755859375,94.9000015258789,77.7874984741211,71.26850128173828,161.25999450683594,94.04000091552734,77.91000366210938,71.76249694824219,161.75999450683594,94.56549835205078,121532000.0,30730000.0,21626500.0,55616000.0
2020-01-14,76.58139038085938,71.52950286865234,157.6199493408203,93.47200012207031,78.16999816894531,71.52950286865234,162.1300048828125,93.47200012207031,79.39250183105469,72.13150024414062,163.60000610351562,94.35549926757812,78.0425033569336,71.38849639892578,161.72000122070312,92.92749786376953,79.17500305175781,72.0,163.38999938964844,94.29399871826172,161954400.0,26076000.0,23477400.0,68818000.0
2020-01-15,76.25320434570312,71.95999908447266,158.64071655273438,93.10099792480469,77.83499908447266,71.95999908447266,163.17999267578125,93.10099792480469,78.875,72.03900146484375,163.94000244140625,93.94300079345703,77.38749694824219,71.58300018310547,162.57000732421875,92.75450134277344,77.9625015258789,71.6510009765625,162.6199951171875,93.61250305175781,121923600.0,21550000.0,21417900.0,57932000.0
